time_sec,x,y
1769171916.8296769,2.794620676691307,4.270758296901083
1769171917.5441358,2.8394796860782066,4.362379567902651
1769171918.1759999,2.8844248700939663,4.453958358292595
1769171919.142534,2.9294537786152732,4.545496183363264
1769171919.5512238,2.974564395830381,4.636993424607279
1769171920.2143779,3.0196188456036994,4.727443571473126
1769171920.8313596,3.0665347662536555,4.824539253080527
1769171921.465379,3.1067474510363837,4.918954722056389
1769171922.0876422,3.142333824542586,5.020434090143472
1769171922.7764719,3.1699495438681065,5.120328915299266
1769171923.5589216,3.1906122055885895,5.221331121878805
1769171924.4188242,3.212734071390374,5.3277014935815235
1769171925.2685413,3.24347823386015,5.426556906278624
1769171930.8125522,3.279739323358902,5.520032349192997
1769171940.865351,3.277605491263,5.62011254190904
1769171948.9310994,3.281806395462525,5.720714525123919
1769171957.871787,3.30610730567092,5.818155239454893
1769171966.594168,3.3492088106202247,5.908654768996605
1769171976.2800443,3.4004301152479295,5.9950380026680845
1769171994.9573042,3.451545651964281,6.081081550644839
1769172075.7776535,3.5055984439787093,6.174781281482833
1769172076.3753388,3.5516811662283216,6.264396693565394
1769172076.9354007,3.6031282394662316,6.3526062253845375
1769172077.4807186,3.6610266191074445,6.436727285334824
1769172078.0219529,3.7248228011331475,6.516434293273333
1769172078.5143297,3.791297754429785,6.593804454006623
1769172082.697049,3.7592197029475662,6.49493955602068
1769172086.0798864,3.8117985232733913,6.585376420973326
1769172087.2644017,3.752844717342765,6.495465262291234
1769172087.7559829,3.706460332975728,6.4020919308130795
1769172089.6107173,3.741537285815808,6.499001141036136
1769172090.1995764,3.806858609634632,6.577754283718186
1769172091.8705153,3.7836315547256683,6.474340665095532
1769172095.1151075,3.8439413329026304,6.561186776192016
1769172096.715993,3.8229939238863837,6.45108230167966
1769172101.0129983,3.864279484816568,6.542996021357828
1769172102.236957,3.7684367688629394,6.480922485678373
1769172102.797199,3.6836146171811563,6.421986147830916
1769172104.1251802,3.757290398542784,6.489823186234193
1769172104.6962109,3.8170138278308667,6.5779265017160595
1769172106.070289,3.7194858266271096,6.524740917801805
1769172106.5898945,3.6250846625471196,6.486202457760007
1769172109.6254456,3.6942001304242504,6.563910996751481
1769172110.262724,3.756530967933919,6.649546502396507
1769172111.5751524,3.6611310804752084,6.600417630366958
1769172111.8751578,3.555364941155998,6.556657853157129
1769172112.3876543,3.4585355247799816,6.52912628006818
1769172115.370168,3.527750426928058,6.603189025863397
1769172115.8836756,3.5942178189023566,6.678038744088575
1769172116.505235,3.6588213265804104,6.754895548421643
1769172117.6654458,3.568083259187126,6.702130335448925
1769172120.606621,3.637722080349274,6.787464374254536
1769172121.2326703,3.704390273946604,6.8622149083940895
1769172121.946343,3.6326558029923803,6.771361042707543
1769172122.477924,3.569697793940803,6.689190223417637
1769172123.6807709,3.6391596186938577,6.761737440060162
1769172124.713867,3.587884904653338,6.665079138981041
1769172127.8134851,3.6546001157489707,6.740553000883905
1769172131.4452214,3.5446168697806506,6.738731676834918
1769172131.7327366,3.435819118994105,6.702182269081796
1769172132.1072755,3.3369773348133833,6.682945137866984
1769172135.2939734,3.4073159874024626,6.762232949781739
1769172135.8067317,3.4832016803228854,6.838543011129485
1769172137.1023405,3.3864780218560426,6.810337658140605
1769172137.446955,3.287185799005004,6.788274414116243
1769172140.5672483,3.3511439444050586,6.865394207637333
1769172141.207843,3.425725143079713,6.935114112471219
1769172142.7199993,3.325404900087668,6.924212657118263
1769172146.0083263,3.393406889340726,7.001814343424836
1769172146.5721264,3.472007452389733,7.067315811015187
1769172147.8982987,3.3662699766977147,7.035098023135851
1769172148.2905488,3.257843473987005,7.004607114275741
1769172148.9252553,3.158408543983585,6.986816920039697
1769172209.5922093,3.227920626655448,7.0598177980202435
1769172210.0732405,3.3103000562899783,7.119931105950784
1769172210.6373756,3.3944758072592838,7.177525052619439
1769172211.2544916,3.484151800382748,7.234592310970534
1769172212.3730948,3.391387446330189,7.192802958010611
1769172212.6489284,3.279367581587105,7.14771804892676
1769172212.9289541,3.174401229779148,7.109911641086789
1769172213.2384088,3.0708392343445596,7.0773553711172195
