index,x,y,orientation
0,3.868748014569787e-07,8.000000287404026,-1.569999843442225
1,-4.98017341984667e-07,7.99998236225454,-1.5699982186051642
2,-1.7417975216318148e-06,7.999937857335285,-1.569994887129672
3,-3.0211952971396242e-06,7.99989197784219,-1.569988804689222
4,-4.477321508608779e-06,7.999875773560441,-1.5699805170078718
5,-5.97003650469838e-06,7.999889448415348,-1.5699719907237903
6,-5.9722705763241125e-06,7.999926902002499,-1.5699654731769488
7,-5.554371712580776e-06,7.999943932525366,-1.569961353691843
8,-5.860427701878069e-06,7.999932096173684,-1.5699576590021063
9,-4.924689108729747e-06,7.9998905817498684,-1.5699508583196586
10,-4.616140911506366e-06,7.999886416874924,-1.5699440313774071
11,-1.435461826710804e-06,7.9999083259948645,-1.5699367281225889
12,-2.487709011960802e-08,7.99990588146801,-1.5699342333068902
13,9.522654744855325e-07,7.999894689660153,-1.5699316616728607
14,1.4742702295274585e-07,7.999887591400493,-1.5699277223959318
15,-4.414020427061894e-07,7.999888014335316,-1.5699235820974664
16,5.259223012708765e-07,7.999890767980132,-1.5699182945400385
17,2.1314288131860814e-07,7.999887962678,-1.5699145861540147
18,-2.2205850897009662e-07,7.99988339630113,-1.5699107843501572
19,-2.1774250013824709e-07,7.999880358903595,-1.5699070671014155
20,1.9581826413195653e-07,7.99987908637558,-1.5699016177594851
21,2.2338763479390062e-07,7.999877796790885,-1.5698980432507312
22,8.805032652829491e-08,7.9998753609720765,-1.5698943731132013
23,-1.5735426327501863e-08,7.999871507065863,-1.5698886744992102
24,6.792241015101778e-08,7.999869667435153,-1.5698849397691916
25,6.119849410850967e-08,7.999867188511276,-1.5698793106932318
26,5.641426736246951e-08,7.999863960634945,-1.5698737215642269
27,2.945357314545079e-08,7.999860798484512,-1.5698681347973271
28,-4.924270928428603e-08,7.999857973460659,-1.569862505504835
29,8.595579756328033e-08,7.999854976520989,-1.5698569879089779
30,6.278132484686788e-08,7.999851895036322,-1.5698514110452166
31,-1.0979911216124787e-07,7.999848891564072,-1.5698457497174894
32,1.1685325276052195e-07,7.9998459232761645,-1.5698402644691247
33,1.8284016199990147e-07,7.999843964121552,-1.5698365953043008
34,6.004271198606372e-08,7.999840918193933,-1.569830971480762
35,5.9412475506824194e-08,7.99983789897664,-1.5698253893966507
36,1.4891250927892871e-07,7.99983491002107,-1.569819860931079
37,8.448584436389652e-08,7.99983196273283,-1.5698142586650403
38,2.5009164162203364e-08,7.999828927406637,-1.5698086501029966
39,1.2020671470921161e-07,7.9998258378397615,-1.569803121725279
40,2.0146619111483481e-07,7.999822879942654,-1.5697975881817534
41,1.6278834570801604e-07,7.999819936285774,-1.569792000001415
42,5.5757955298552675e-08,7.9998168671423056,-1.5697863737435538
43,9.804252948954015e-08,7.999813884093409,-1.5697808196558745
44,1.280473733114177e-07,7.999810935265292,-1.5697752614812004
45,1.0277870677408924e-07,7.999807897371257,-1.5697696725688246
46,8.384705703771776e-08,7.999803882514029,-1.5697622303120509
47,1.4322870818937925e-07,7.9998008719867615,-1.5697566733233337
48,6.934876830904166e-08,7.999796829121316,-1.5697492068986363
49,8.477158361796531e-08,7.9997938792913015,-1.5697436372937537
50,1.775716980035003e-07,7.99979092329508,-1.5697381041487433
51,1.1169509829699017e-07,7.999786881476817,-1.569730646423161
52,3.617966239520737e-08,7.999783832812586,-1.5697250261317648
53,9.432963718931695e-08,7.9997818878241125,-1.5697213379133024
54,1.377494429761184e-07,7.999779804826539,-1.569717638476558
55,1.5302437429991223e-07,7.9997778995813595,-1.5697139335534218
56,1.395068197635386e-07,7.999775843894715,-1.5697102048697584
57,1.2625459010640013e-07,7.999773908204526,-1.5697064870704398
58,1.1925181143270547e-07,7.99977180980441,-1.5697027638628762
59,1.5188932473886766e-07,7.9997688738653165,-1.5696972023611855
60,1.701682777838017e-07,7.999765890883737,-1.569691638810016
61,1.7352846331893612e-07,7.999762871605835,-1.569686064969453
62,1.391092196376914e-07,7.999759796829012,-1.5696804709970453
63,1.1466510185288548e-07,7.999756831229626,-1.569674886383302
64,2.3697650662467018e-07,7.999753904653027,-1.5696693611552182
65,1.0660576614228743e-07,7.999750807134426,-1.5696637298527845
